Date,Open,High,Low,Close,Adj Close,Volume
2021-12-31,58.330002,58.619999,58.279999,58.369999,58.369999,249400
2022-01-03,59.000000,59.900002,58.250000,58.470001,58.470001,397300
2022-01-04,58.799999,58.799999,57.700001,58.299999,58.299999,257400
2022-01-05,57.740002,57.750000,56.810001,56.939999,56.939999,225500
2022-01-06,56.680000,57.959999,56.549999,57.450001,57.450001,339200
2022-01-07,58.000000,58.169998,57.700001,58.099998,58.099998,291000
2022-01-10,57.320000,58.490002,57.200001,58.439999,58.439999,491100
2022-01-11,57.529999,59.279999,57.529999,58.990002,58.990002,209500
2022-01-12,58.650002,58.650002,58.209999,58.549999,58.549999,138000
2022-01-13,57.919998,57.990002,57.130001,57.200001,57.200001,289100
2022-01-14,56.959999,57.419998,56.959999,57.160000,57.160000,233400
2022-01-18,58.049999,58.459999,57.869999,58.410000,58.410000,722000
2022-01-19,58.930000,59.500000,58.220001,58.610001,58.610001,704600
2022-01-20,60.320000,60.639999,59.279999,59.910000,59.910000,665100
2022-01-21,59.410000,60.209999,59.320000,59.320000,59.320000,632700
2022-01-24,58.889999,58.889999,57.439999,58.750000,58.750000,784600
2022-01-25,58.950001,59.980000,57.919998,58.910000,58.910000,504400
2022-01-26,61.110001,61.750000,60.549999,61.060001,61.060001,663300
2022-01-27,61.099998,61.779999,61.090000,61.189999,61.189999,717700
2022-01-28,60.290001,61.150002,60.000000,61.110001,61.110001,790200
2022-01-31,60.880001,61.419998,60.770000,61.099998,61.099998,585000
2022-02-01,61.430000,62.000000,61.430000,61.950001,61.950001,237900
2022-02-02,63.099998,63.189999,62.580002,62.660000,62.660000,227800
2022-02-03,61.540001,62.889999,61.130001,61.599998,61.599998,711500
2022-02-04,62.279999,63.090000,62.279999,63.020000,63.020000,194400
2022-02-07,63.610001,63.820000,63.330002,63.380001,63.380001,158400
2022-02-08,63.009998,63.020000,62.240002,62.660000,62.660000,259400
2022-02-09,62.689999,63.320000,62.220001,63.250000,63.250000,240200
2022-02-10,61.700001,62.250000,61.330002,61.549999,61.549999,518500
2022-02-11,61.750000,62.500000,61.500000,61.990002,61.990002,501200
2022-02-14,62.730000,62.730000,61.860001,62.369999,62.369999,220500
2022-02-15,62.240002,64.349998,62.240002,64.139999,64.139999,594300
2022-02-16,64.010002,64.010002,63.169998,63.549999,63.549999,296300
2022-02-17,63.599998,63.770000,63.060001,63.250000,63.250000,166100
2022-02-18,63.549999,64.480003,63.549999,63.880001,63.880001,252300
2022-02-22,63.590000,63.590000,62.700001,63.099998,63.099998,284400
2022-02-23,63.500000,63.500000,62.270000,62.619999,62.619999,222300
2022-02-24,60.919998,62.369999,60.849998,62.349998,62.349998,385100
2022-02-25,61.860001,62.189999,61.610001,62.189999,62.189999,313700
